index,breadth_above_sma_50,market_vol_regime,btc_trend_slope
2025-01-01 19:00:00+00:00,,,27.358263157893578
2025-01-01 20:00:00+00:00,,medium,47.91842105262978
2025-01-01 21:00:00+00:00,,medium,58.11855639097373
2025-01-01 22:00:00+00:00,,medium,71.50560150375772
2025-01-01 23:00:00+00:00,,medium,76.69789473683984
2025-01-02 00:00:00+00:00,,medium,83.93903759398428
2025-01-02 01:00:00+00:00,,medium,88.77372932330458
2025-01-02 02:00:00+00:00,,medium,96.76369924811881
2025-01-02 03:00:00+00:00,,medium,98.17230827067371
2025-01-02 04:00:00+00:00,,medium,103.51787969924864
2025-01-02 05:00:00+00:00,,medium,103.59816541353348
2025-01-02 06:00:00+00:00,,medium,98.71711278195238
2025-01-02 07:00:00+00:00,,medium,95.85281203007439
2025-01-02 08:00:00+00:00,,medium,100.03798496240498
2025-01-02 09:00:00+00:00,,medium,112.70226315789206
2025-01-02 10:00:00+00:00,,medium,122.86769924811804
2025-01-02 11:00:00+00:00,,medium,133.641135338345
2025-01-02 12:00:00+00:00,,medium,137.22045864661428
2025-01-02 13:00:00+00:00,,medium,131.89493984962283
2025-01-02 14:00:00+00:00,,medium,137.5918646616544
2025-01-02 15:00:00+00:00,,medium,131.9852030075173
2025-01-02 16:00:00+00:00,,medium,137.21038345864534
2025-01-02 17:00:00+00:00,,medium,135.0513533834566
2025-01-02 18:00:00+00:00,,medium,135.47694736842053
2025-01-02 19:00:00+00:00,,medium,128.75478947368316
2025-01-02 20:00:00+00:00,,medium,126.24810526315747
2025-01-02 21:00:00+00:00,,medium,114.92876691729131
2025-01-02 22:00:00+00:00,,medium,101.63451127819073
2025-01-02 23:00:00+00:00,,medium,83.33518796992334
2025-01-03 00:00:00+00:00,,medium,70.81269924811947
2025-01-03 01:00:00+00:00,89.33717579250721,high,57.1281503759385
2025-01-03 02:00:00+00:00,87.31988472622479,medium,40.74957894736564
2025-01-03 03:00:00+00:00,89.04899135446685,medium,27.541714285713585
2025-01-03 04:00:00+00:00,82.13256484149855,medium,14.092112781953551
2025-01-03 05:00:00+00:00,78.38616714697406,medium,8.518872180447651
2025-01-03 06:00:00+00:00,76.0806916426513,medium,-1.0457368421050457
2025-01-03 07:00:00+00:00,61.09510086455331,medium,-13.326511278198394
2025-01-03 08:00:00+00:00,68.01152737752162,medium,-25.600646616542193
2025-01-03 09:00:00+00:00,85.01440922190201,medium,-36.916819548870535
2025-01-03 10:00:00+00:00,82.42074927953891,medium,-36.71238345864905
2025-01-03 11:00:00+00:00,90.20172910662824,medium,-44.164496240603796
2025-01-03 12:00:00+00:00,88.18443804034582,low,-41.137879699250085
2025-01-03 13:00:00+00:00,89.04899135446685,low,-47.03227067669349
2025-01-03 14:00:00+00:00,93.0835734870317,low,-36.36703007518898
2025-01-03 15:00:00+00:00,95.10086455331412,low,-18.057488721805157
2025-01-03 16:00:00+00:00,96.54178674351584,low,4.72276691729244
2025-01-03 17:00:00+00:00,95.67723342939482,low,27.43184962405884
2025-01-03 18:00:00+00:00,96.25360230547551,low,51.32630075187713
2025-01-03 19:00:00+00:00,96.82997118155619,low,74.86845112782001
2025-01-03 20:00:00+00:00,97.40634005763688,low,89.47667669172628
2025-01-03 21:00:00+00:00,97.69452449567724,low,103.81698496240641
2025-01-03 22:00:00+00:00,98.27089337175792,low,116.26575187969793
2025-01-03 23:00:00+00:00,97.69452449567724,medium,126.47677443608744
2025-01-04 00:00:00+00:00,95.67723342939482,medium,127.8835263157873
2025-01-04 01:00:00+00:00,96.25360230547551,low,128.10767669172603
2025-01-04 02:00:00+00:00,95.96541786743515,low,126.62770676691436
2025-01-04 03:00:00+00:00,95.10086455331412,low,117.282308270674
2025-01-04 04:00:00+00:00,93.94812680115274,low,99.49508270676483
2025-01-04 05:00:00+00:00,94.52449567723343,low,87.38325563909407
2025-01-04 06:00:00+00:00,95.96541786743515,low,71.88789473684176
2025-01-04 07:00:00+00:00,95.96541786743515,low,60.23801503759107
2025-01-04 08:00:00+00:00,88.47262247838617,low,39.649556390975356
2025-01-04 09:00:00+00:00,91.06628242074927,low,11.560052631579245
2025-01-04 10:00:00+00:00,89.33717579250721,low,-8.826812030075423
2025-01-04 11:00:00+00:00,91.06628242074927,low,-20.967924812033477
2025-01-04 12:00:00+00:00,96.25360230547551,low,-28.204045112784478
2025-01-04 13:00:00+00:00,97.11815561959655,low,-31.765255639099387
2025-01-04 14:00:00+00:00,96.54178674351584,low,-26.435270676691733
2025-01-04 15:00:00+00:00,78.38616714697406,low,-24.740165413536392
2025-01-04 16:00:00+00:00,86.45533141210375,low,-25.40266165413744
2025-01-04 17:00:00+00:00,90.48991354466858,low,-21.31315789473801
2025-01-04 18:00:00+00:00,88.47262247838617,low,-17.245721804512797
2025-01-04 19:00:00+00:00,89.62536023054754,low,-11.679842105266252
2025-01-04 20:00:00+00:00,93.0835734870317,low,-3.4592932330859805
2025-01-04 21:00:00+00:00,88.76080691642652,low,1.8263383458606621
2025-01-04 22:00:00+00:00,89.9135446685879,low,11.586729323304743
2025-01-04 23:00:00+00:00,89.33717579250721,low,16.71671428571286
2025-01-05 00:00:00+00:00,83.28530259365994,low,18.57276691729132
2025-01-05 01:00:00+00:00,70.60518731988472,low,20.802090225562694
2025-01-05 02:00:00+00:00,81.55619596541787,low,24.541443609022185
2025-01-05 03:00:00+00:00,77.52161383285303,low,29.8449924812002
2025-01-05 04:00:00+00:00,85.01440922190201,low,31.920218045111834
2025-01-05 05:00:00+00:00,70.60518731988472,low,29.932586466165993
